title,link,category,id,duration,Tags
gourmet9,https://www.douyin.com/video/7119755453466234143,gourmet,7119755453466234143,35,"Baking, Dessert, RecipeGuide"
gourmet10,https://www.douyin.com/video/7434492726764129595,gourmet,7434492726764129595,11,"Baking, Dessert, Soufflé"
gourmet11,https://www.douyin.com/video/7391811494238817576,gourmet,7391811494238817576,24,DeliciousDiscoveries
gourmet12,https://www.douyin.com/video/7390222991692434726,gourmet,7390222991692434726,55,"Dessert, Baking"
gourmet13,https://www.douyin.com/video/7101865888990661919,gourmet,7101865888990661919,17,Cooking School
gourmet14,https://www.douyin.com/video/7387344308606684479,gourmet,7387344308606684479,56,"RecipeGuide, curry"
gourmet15,https://www.douyin.com/video/7380281095889177897,gourmet,7380281095889177897,47,"XinjiangCuisine, FoodDocumentary"
gourmet16,https://www.douyin.com/video/7369519657490992438,gourmet,7369519657490992438,59,"Ham, FoodDocumentary"
gourmet17,https://www.douyin.com/video/7412582519117319475,gourmet,7412582519117319475,39,"cooking records, FoodDocumentary"
gourmet18,https://www.douyin.com/video/6595169037905300749,gourmet,6595169037905300749,21,"XinjiangCuisine, DeliciousDiscoveries"
gourmet19,https://www.douyin.com/video/7121569696134073636,gourmet,7121569696134073636,41,"RecipeGuide, XinjiangCuisine"
gourmet20,https://www.douyin.com/video/7039642214288428296,gourmet,7039642214288428296,12,"RecipeGuide, dumplings"
hair braided1,https://www.douyin.com/video/7351321329708158235,hair_braided,7351321329708158235,55,"HairTutorial, upstyle"
hair braided2,https://www.douyin.com/video/7222167689937046821,hair_braided,7222167689937046821,36,"HairTutorial, hair clip"
hair braided3,https://www.douyin.com/video/7380724689586359552,hair_braided,7380724689586359552,35,"HairTutorial, braiding"
hair braided4,https://www.douyin.com/video/7243780016117468448,hair_braided,7243780016117468448,57,"dye hair, Hair Coloring, HairInspiration"
hair braided5,https://www.douyin.com/video/7030011027945295135,hair_braided,7030011027945295135,41,"HairTutorial, wavy hair"
hair braided6,https://www.douyin.com/video/7385415030990261542,hair_braided,7385415030990261542,21,"HairTutorial, bangs"
hair braided7,https://www.douyin.com/video/6855116355524365575,hair_braided,6855116355524365575,22,"HairStyle, HairTutorial"
hair braided8,https://www.douyin.com/video/7031109076851363104,hair_braided,7031109076851363104,47,"HairTutorial, upstyle, hair clip"
hair braided9,https://www.douyin.com/video/7405585975553871156,hair_braided,7405585975553871156,12,"HairTutorial, upstyle"
hair braided10,https://www.douyin.com/video/7382837665990839561,hair_braided,7382837665990839561,51,"HairStyle, HairInspiration"
hair braided11,https://www.douyin.com/video/7198083479790275880,hair_braided,7198083479790275880,11,"HairTutorial, wavy hair"
hair braided12,https://www.douyin.com/video/7405170715797818651,hair_braided,7405170715797818651,17,"HairTutorial, wavy hair"
hair braided13,https://www.douyin.com/video/7099648479886085383,hair_braided,7099648479886085383,53,"dye hair, Hair Coloring, HairInspiration"
hair braided14,https://www.douyin.com/video/7379974825483291954,hair_braided,7379974825483291954,16,"HairTransformation, HairStyle"
hair braided15,https://www.douyin.com/video/7386928671635852582,hair_braided,7386928671635852582,16,"HairTutorial, bangs"
hair braided16,https://www.douyin.com/video/7405919528980466996,hair_braided,7405919528980466996,38,"HairTransformation, short hair"
